season,grand_prix,date,winner,constructor,laps,time,url
1976,Monaco,30 May 1976,Niki LaudaLAU,Ferrari,78,1:59:51.470,https://www.formula1.com/en/results/1976/races/363/monaco/race-result
1976,Sweden,13 Jun 1976,Jody ScheckterSCH,Tyrrell Ford,72,1:46:53.729,https://www.formula1.com/en/results/1976/races/364/sweden/race-result
1976,France,04 Jul 1976,James HuntHUN,McLaren Ford,54,1:40:58.600,https://www.formula1.com/en/results/1976/races/365/france/race-result
1976,Great Britain,18 Jul 1976,Niki LaudaLAU,Ferrari,76,1:44:19.660,https://www.formula1.com/en/results/1976/races/366/great-britain/race-result
1976,Germany,01 Aug 1976,James HuntHUN,McLaren Ford,14,1:41:42.700,https://www.formula1.com/en/results/1976/races/367/germany/race-result
1976,Austria,15 Aug 1976,John WatsonWAT,Penske Ford,54,1:30:07.860,https://www.formula1.com/en/results/1976/races/368/austria/race-result
1976,Netherlands,29 Aug 1976,James HuntHUN,McLaren Ford,75,1:44:52.090,https://www.formula1.com/en/results/1976/races/369/netherlands/race-result
1976,Italy,12 Sep 1976,Ronnie PetersonPET,March Ford,52,1:30:35.600,https://www.formula1.com/en/results/1976/races/370/italy/race-result
1976,Canada,03 Oct 1976,James HuntHUN,McLaren Ford,80,1:40:09.626,https://www.formula1.com/en/results/1976/races/371/canada/race-result
1976,USA East,10 Oct 1976,James HuntHUN,McLaren Ford,59,1:42:40.741,https://www.formula1.com/en/results/1976/races/372/usa-east/race-result
1976,Japan,24 Oct 1976,Mario AndrettiAND,Lotus Ford,73,1:43:58.860,https://www.formula1.com/en/results/1976/races/373/japan/race-result
1977,Argentina,09 Jan 1977,Jody ScheckterSCH,Wolf Ford,53,1:40:11.190,https://www.formula1.com/en/results/1977/races/374/argentina/race-result
1977,Brazil,23 Jan 1977,Carlos ReutemannREU,Ferrari,40,1:45:07.720,https://www.formula1.com/en/results/1977/races/375/brazil/race-result
1977,South Africa,05 Mar 1977,Niki LaudaLAU,Ferrari,78,1:42:21.600,https://www.formula1.com/en/results/1977/races/376/south-africa/race-result
